title,genres,keywords
Inception,Action Sci-Fi Thriller,dream subconscious heist mind bending leonardo dicaprio
Interstellar,Adventure Drama Sci-Fi,space time relativity blackhole survival nasa
The Dark Knight,Action Crime Drama,batman joker chaos gotham vigilante dc
The Prestige,Drama Mystery Sci-Fi,magician rivalry illusion twist obsession
Dunkirk,War Drama History,world war evacuation survival soldier beach nolan
Tenet,Action Sci-Fi Thriller,time inversion espionage mission complex
Avatar,Action Adventure Sci-Fi,alien pandora environment war human vs nature
Titanic,Romance Drama,ship iceberg love tragedy class difference ocean
Gladiator,Action Drama History,roman empire revenge arena warrior emperor
The Matrix,Action Sci-Fi,simulation reality hacker rebellion ai machines
John Wick,Action Crime Thriller,assassin revenge dog mafia guns action
Mad Max Fury Road,Action Adventure Sci-Fi,post apocalyptic desert chase survival fury
The Avengers,Action Adventure Sci-Fi,superhero marvel team battle earth invasion
Avengers Endgame,Action Adventure Sci-Fi,time travel sacrifice infinity war marvel heroes
Iron Man,Action Sci-Fi,genius billionaire suit technology weapons redemption
Spider Man No Way Home,Action Adventure Fantasy,multiverse spiderman villains crossover marvel
Harry Potter,Fantasy Adventure,magic wizard hogwarts friendship battle dark lord
Fantastic Beasts,Fantasy Adventure,magic creatures wizarding world adventure
The Lord of the Rings,Fantasy Adventure,ring quest middle earth fellowship battle
The Hobbit,Fantasy Adventure,dragon quest journey dwarves treasure
Skyfall,Action Adventure Thriller,james bond spy mi6 mission british agent
Casino Royale,Action Adventure Thriller,james bond origin poker spy betrayal
Sherlock Holmes,Mystery Crime Drama,detective london deduction watson case
Sherlock Holmes Game of Shadows,Mystery Action Crime,detective moriarty conspiracy london
Kingsman Secret Service,Action Comedy Spy,british spy agency training humor gadgets
Mission Impossible Fallout,Action Thriller Spy,agent mission stunts chase global threat
Top Gun Maverick,Action Drama,jet pilot training navy legacy speed combat
Saving Private Ryan,War Drama History,world war soldier rescue mission sacrifice
1917,War Drama,world war mission real time survival trench
The Social Network,Drama Biography,facebook founder ambition betrayal business tech
The Imitation Game,Drama Biography History,enigma code alan turing british intelligence
Bohemian Rhapsody,Drama Biography Music,queen freddie mercury music fame struggle
The Theory of Everything,Drama Biography,stephen hawking physics love illness
Notting Hill,Romance Comedy,bookstore actress love london relationship
Love Actually,Romance Comedy,christmas multiple stories love london
Bridget Jones Diary,Romance Comedy,diary love life british humor relationships
The Notebook,Romance Drama,love memory aging relationship emotional
La La Land,Romance Drama Music,jazz dreams hollywood love career sacrifice
Whiplash,Drama Music,drummer teacher obsession perfection jazz intense
The Wolf of Wall Street,Drama Biography,stock broker greed drugs money rise fall
The Big Short,Drama Comedy,financial crisis wall street economy collapse
Joker,Crime Drama,mental health society villain origin chaos
Fight Club,Drama Thriller,identity rebellion underground fight society critique
Se7en,Crime Thriller,serial killer detective seven sins dark investigation
Gone Girl,Thriller Mystery,marriage disappearance media manipulation twist
Shutter Island,Thriller Mystery,mental hospital detective twist reality
The Conjuring,Horror Thriller,haunted house paranormal investigators family
A Quiet Place,Horror Sci-Fi,aliens silence survival family tension
Get Out,Horror Thriller,social horror racism psychological suspense
The Grand Budapest Hotel,Comedy Drama,hotel concierge adventure quirky story wes anderson
Paddington,Family Comedy Adventure,bear london kindness family british humor
Paddington 2,Family Comedy Adventure,bear prison kindness adventure heartwarming
Mr Bean Holiday,Comedy Family,british humor travel mishaps silly adventure
Pirates of the Caribbean,Adventure Fantasy,ship pirate curse treasure jack sparrow
Jurassic Park,Adventure Sci-Fi,dinosaurs park chaos survival science
The Lion King,Animation Drama,king jungle family responsibility legacy
Frozen,Animation Fantasy,princess magic sister love ice adventure
Toy Story,Animation Family,toys friendship loyalty adventure childhood
Finding Nemo,Animation Adventure,fish ocean father son journey
